Serial_No,Name,Aggregate,GRE,IELTS,TOEFL,University,CGPA,Gender,Poissan,Fees
90,Hagan,233,264,6,116,Puntland State University,6.44,M,302,"$55,003.69 "
91,Stacee,233,337,7.6,72,Illinois School of Professional Psychology - Chicago Campus,7.29,M,314,"$51,205.51 "
92,Galen,624,263,6.9,65,University of the Visual & Performing Arts,4.86,M,310,"$48,367.68 "
93,Keith,632,262,5.1,73,Liberty University,9.54,M,296,"$32,561.30 "
94,Greggory,669,290,6.1,81,Universidad Rey Juan Carlos,4.23,M,279,"$45,951.50 "
95,Josi,172,270,7.8,77,Al Azhar University,6.88,F,290,"$55,916.77 "
96,Flint,130,264,5.4,77,University College of Nabi Akram,6.81,M,298,"$39,661.92 "
97,Paco,308,328,3.8,118,Helsinki School of Economics and Business Administration,5.28,M,286,"$47,489.91 "
98,Toni,417,339,6.5,116,Asa University Bangladesh,8.99,F,307,"$66,967.37 "
99,Nigel,584,288,7.6,109,Multimedia University,7.66,M,313,"$46,175.37 "
100,Ari,697,329,7.6,79,Meijo University,5.25,M,291,"$37,151.71 "
101,Stanley,658,291,5.2,115,Universidad del Valle de México,6.96,M,288,"$65,987.88 "
102,Vita,350,277,8.7,100,"Universidad de Puerto Rico, Ponce",5.67,F,287,"$42,629.98 "
103,Mathias,127,314,6.1,83,Technological University of the Philippines,7.18,M,321,"$38,967.42 "
104,Frederich,54,313,4,95,Hochschule Vechta,4.02,M,297,"$60,754.86 "
105,Monroe,692,261,3.7,106,Ecole Nationale Supérieure des Industries Chimiques de Nancy,7.36,M,302,"$54,224.33 "
106,Blake,518,314,3.5,116,Hochschule für Berufstätige Rendsburg,9.59,M,289,"$54,002.63 "
107,Matelda,507,305,3.4,109,University of Gadarif,7.03,F,287,"$46,091.70 "
108,Lucio,74,323,4.3,96,Patuakhali Science and Technology University,5.71,M,314,"$32,066.32 "
109,Beniamino,325,312,3.6,111,Kunsan National University,9.69,M,314,"$43,877.42 "
110,Dietrich,340,314,8.7,60,"South-West University ""Neofit Rilski""",7.56,M,274,"$28,275.68 "
111,Lane,142,268,8.1,97,National Formosa University,7.04,F,284,"$62,594.73 "
112,Hebert,423,315,7.4,99,"Islamic Azad University, Ardabil",6.42,M,318,"$35,474.58 "
113,Dre,444,282,3.7,107,Darul Takzim Institute of Technology,8.65,F,289,"$55,472.06 "
114,Alicea,175,277,7.1,68,Soochow University,4.7,F,284,"$55,385.61 "
115,Ricki,532,284,4.8,84,State University of New York at Oswego,9.31,M,311,"$26,036.16 "
116,Onida,32,312,5.7,96,Ecole Nationale Vétérinaire d'Alfort,7.28,F,300,"$50,887.52 "
117,Brandy,494,288,8.6,94,Kyushu Women's University,4.59,F,283,"$54,068.05 "
118,Hillel,281,311,3,114,John Carroll University,7.91,M,320,"$44,919.79 "
119,Llywellyn,470,265,4.5,100,Cleary College,8.51,M,283,"$27,436.85 "
120,Adriaens,674,283,6.5,74,Cyryx College,5.91,F,313,"$58,736.47 "
121,Merl,587,306,5.5,82,Koka Women's College,9.51,F,305,"$39,797.70 "
122,Brose,125,263,7.7,95,"Institute of Teachers Education, Tuanku Bainun",5.89,M,302,"$57,539.53 "
123,Ilka,619,305,4.6,78,Université de N'Djamena,4.4,F,311,"$37,579.95 "
124,Bobette,569,333,7.4,102,Technical University of Koszalin,8.18,F,317,"$31,204.74 "
125,Holly,208,310,4.2,115,Najran University,7.6,F,296,"$50,219.42 "
126,Kalle,654,322,3.3,63,Kazak National Technical University,4.83,M,289,"$65,863.24 "
127,Laina,206,274,7.4,115,Umea University,7.5,F,342,"$45,238.31 "
128,Olympe,477,305,8.3,103,The Manchester Metropolitan University,6.82,F,287,"$67,281.77 "
129,Garrett,86,275,8,105,Shandong Agricultural University,7.54,M,291,"$35,473.45 "
130,Isadore,462,313,4.8,90,Takarazuka University of Art and Design,8.27,M,325,"$30,562.80 "
131,Fay,93,323,3.7,94,Hakodate University,8.34,F,292,"$54,651.72 "
132,Jaynell,168,280,4.4,120,Millennia Atlantic University,5.52,F,301,"$46,133.61 "
133,Sheri,242,321,5.4,77,Technological University (Myitkyina) ,5.48,F,308,"$33,870.49 "
134,Kassia,507,329,8.9,98,California Institute of Integral Studies,8.31,F,300,"$69,330.80 "
135,Caitrin,262,311,8.2,74,Binus University,7.78,F,301,"$55,100.49 "
136,Erskine,486,262,8.1,88,Istanbul Arel University,9.25,M,305,"$40,561.86 "
137,Curr,649,315,6.7,116,Delta University,7.78,M,292,"$38,395.53 "
138,Alika,57,295,3.3,80,University of Surrey,8.11,F,306,"$54,337.72 "
139,Christoforo,31,296,7.9,101,William Jewell College,4.98,M,285,"$46,350.94 "
140,Vaughn,196,302,8.5,85,Universität Hannover,6.79,M,266,"$67,102.60 "
141,Turner,120,337,4.8,117,University of the District of Columbia,4.93,M,277,"$39,128.54 "
142,Murvyn,484,281,4.6,101,Université Libre de Tunis,5.64,M,294,"$28,253.12 "
143,Isidora,205,320,4.7,118,University of Arkansas (System),6.52,F,319,"$68,069.23 "
144,Aggy,231,270,8.6,95,Florida Southern College,8.18,F,283,"$38,260.38 "
145,Sanderson,274,312,8.1,120,William and Catherine Booth College,5.73,M,328,"$30,332.65 "
146,Cindy,610,315,3.2,95,Kateb Institute of Higher Education,5.62,F,317,"$60,578.04 "
147,Ernestine,659,276,8,104,Nagoya University of Arts,4.65,F,305,"$28,597.72 "
148,Chancey,573,307,4.1,94,Institute of Management & Enteurpreneurship of South East Europe,5.19,M,319,"$57,590.68 "
149,Galven,654,294,4.5,76,Khulna University of Engineering And Technology,5.2,M,318,"$69,183.70 "
150,Peadar,287,278,6,66,Ecole Centrale d'Electronique - ECE,8.59,M,290,"$35,834.87 "
151,Hillie,60,311,5.9,119,University of Macedonia,8.48,M,326,"$56,587.90 "
152,Claybourne,500,305,4.7,101,Sultan Idris Shah Polytechnic,9.1,M,315,"$66,637.50 "
153,Lynne,581,270,7.8,117,Future University,4.94,F,285,"$64,958.85 "
154,Nicki,77,331,5,69,Lingnan University,9.48,F,275,"$27,788.69 "
155,Jeff,42,282,8.1,81,University of Wisconsin - Platteville,5.81,M,292,"$40,920.36 "
156,Anjanette,138,291,8.4,99,"Trinity International University (Excel), Miami",6.03,F,300,"$43,490.29 "
157,Archer,38,324,3.9,101,Czech Technical University of Prague,4.16,M,298,"$28,213.77 "
158,D'arcy,539,306,5.7,87,Connecticut College,9.57,M,280,"$46,814.43 "
159,Noellyn,381,300,4.9,97,Universidad Nacional de Cuyo,4.29,F,313,"$41,339.92 "
160,Kiah,683,317,6.6,109,Toho University,4.05,F,324,"$59,216.67 "
161,Kathye,460,337,8.1,64,Shawnee State University,6.55,F,278,"$27,513.13 "
162,Levy,280,265,7.9,82,Palacky University,8.23,M,317,"$44,326.90 "
163,Leanora,255,277,8.5,86,Komazawa University,7.58,F,309,"$65,893.64 "
164,Rafe,409,333,8.8,78,"Islamic Azad University, Falavarjan ",5.33,M,288,"$65,504.32 "
165,Tatum,576,305,8.7,75,Lyndon State College,4.87,F,307,"$28,292.77 "
166,Jules,156,319,3.6,115,University of Sri Jayawardenapura,7.46,M,303,"$27,378.90 "
167,Lynette,239,301,7.4,105,"St. Francis College, Loretto",7.24,F,295,"$36,946.51 "
168,Wheeler,109,309,7.4,63,Universidade Estadual de Feira de Santana,5.85,M,260,"$51,679.46 "
169,Augusta,486,311,7.8,79,University of Economics in Bratislava,5.01,F,262,"$68,700.75 "
170,Delainey,89,279,3.8,98,Wawasan Open University,4.71,M,273,"$48,327.29 "
171,Wileen,582,306,5.8,86,Ateneo de Naga University,7.22,F,298,"$38,340.79 "
172,Alessandra,176,329,8.6,61,Universitas Islam Syekh-Yusuf ,7.65,F,305,"$62,423.82 "
173,Roderigo,521,275,3,120,Universidad Gabriela Mistral,4.87,M,278,"$46,938.76 "
174,Tynan,623,337,8,105,Rikkyo University (St. Paul's University),6.08,M,302,"$50,795.40 "
175,Morley,634,316,6.1,104,Williams Baptist College,6.23,M,300,"$49,666.05 "
176,Constantia,264,271,7.5,76,St. Bonaventure University,8.44,F,293,"$25,543.18 "
177,Jaclin,51,307,6.4,110,Ecole Supérieure de Commerce de Lille,9.08,F,294,"$44,023.79 "
178,Bird,436,337,7.3,81,Grand Valley State University,8.81,F,281,"$40,508.48 "
179,Creighton,127,277,5.1,60,Claremont McKenna College,4.86,M,280,"$45,725.76 "
180,Kassey,589,315,8.8,95,University School of Physical Education,9.13,F,323,"$36,498.32 "
181,Gwennie,647,300,4.9,67,Jinnah University for Women,6.72,F,312,"$68,272.54 "
182,Devy,331,275,6.5,86,West University of Timisoara,5.05,M,328,"$54,235.43 "
183,Lenka,103,331,4.3,83,Koc University,7.37,F,306,"$45,618.91 "
184,Magda,53,328,6.7,69,Moore College of Art and Design,7.8,F,295,"$64,098.88 "
185,Lila,416,333,4.2,83,First Global University to teaching Jainism,7.5,F,298,"$53,954.21 "
186,Juline,553,337,5.2,78,Al-Isra University,9.09,F,301,"$67,687.73 "
187,Mab,49,263,7.8,89,Hellenic Army Academy,4.22,F,292,"$66,332.06 "
188,Sigmund,200,311,8.7,74,Universidade Federal de Ouro Preto,9.37,M,284,"$46,619.89 "
189,Ludovico,143,333,6.6,109,Jerusalem University College,9.63,M,299,"$49,485.11 "
190,Maggie,222,264,6.7,113,University of Benin,6.36,F,288,"$46,183.85 "
191,Bernadene,308,332,5.3,63,American University of Armenia,6.73,F,273,"$36,785.14 "
192,Wyn,506,333,5.6,99,Universidad de Nariño,7.46,M,295,"$63,156.13 "
193,Else,320,266,3.7,63,Sri Lanka Institute of Advanced Technical Education,8.83,F,281,"$56,195.67 "
194,Gae,673,271,7.2,94,Université de Sherbrooke,9.94,F,331,"$33,256.71 "
195,Chaddie,34,314,8.7,93,Universidad Iberoamericana,5.37,M,304,"$37,234.34 "
196,Beverly,134,324,6.6,61,Modern University for the Humanities,8.84,F,332,"$31,504.44 "
197,Denni,134,322,5.1,106,Kibi International University,9.54,F,301,"$40,173.04 "
198,Bjorn,179,288,5.5,96,Universidad Popular del Cesar,9.64,M,315,"$56,687.10 "
199,Brooks,45,297,8.6,97,Morgan State University,8.17,M,305,"$68,632.57 "
200,Fiona,142,303,5.9,106,Nazareth College,7.24,F,307,"$47,287.59 "
201,Pat,684,264,6.2,104,Vladivostock State University of Economics,9.22,M,294,"$55,449.23 "
202,Spike,418,279,4.6,119,DCT International Hotel & Business Management School,8.69,M,282,"$39,688.63 "
203,Thorpe,415,285,6.4,86,"Troy University, Montgomery",7.82,M,267,"$56,999.92 "
204,Georges,437,261,8.3,116,Universidade Cidade de São Paulo,6.44,M,297,"$68,818.46 "
205,Kincaid,110,314,7,96,Chao Yang University of Science and Technology,8.56,M,301,"$56,328.93 "
206,Werner,270,322,3.2,98,Chongqing University,9.2,M,333,"$59,826.94 "
207,Gerrie,323,322,3.5,72,Unity  University,5.69,F,303,"$66,197.76 "
208,Torre,452,319,5.6,73,Tenri University,6.08,M,295,"$60,629.05 "
209,Toby,357,295,5.1,78,Pfeiffer University,5.67,M,286,"$66,851.94 "
210,Cybill,253,297,8,64,University of Tabuk,9.92,F,332,"$53,150.24 "
211,Charin,75,279,7.6,118,Pedagogical University of Kielce,9.74,F,298,"$25,594.19 "
212,Luce,41,280,7,85,Bowdoin College,6.48,M,299,"$35,384.20 "
213,Svend,312,270,3.5,108,St. Mary's University of San Antonio,9.59,M,288,"$58,218.43 "
214,Kandy,637,289,6.1,82,Athens Graduate School of Management (AGSM),8.33,F,320,"$34,961.79 "
215,Denys,134,288,3.5,110,Hehai University,8.67,M,298,"$67,531.80 "
216,Dena,636,336,7.2,64,Hachinohe University,8.75,F,328,"$36,068.21 "
217,Lizabeth,562,270,6,66,Instituto Piaget,7.07,F,290,"$57,729.17 "
218,Leroy,517,291,3.2,86,American InterContinental University Online,6.95,M,296,"$67,123.62 "
219,Rolf,48,288,5.2,96,"Télé-université, Université du Québec",5.96,M,277,"$33,440.16 "
220,Jameson,366,328,8.2,88,University of Durham,5.65,M,318,"$56,159.20 "
221,Curry,60,267,6.8,78,Modern University For Technology and Information,4.79,M,314,"$47,297.49 "
222,Lyndsie,623,286,3,99,Universitas Riau,4.02,F,308,"$56,894.13 "
223,Obidiah,426,286,8.3,120,Universidad Alberto Hurtado,9.31,M,282,"$42,074.06 "
224,Pauly,672,275,6.3,67,Sir Syed University of Engineering and Technology,8.02,M,294,"$58,170.33 "
225,Ianthe,617,329,4.2,75, Huaihua University,6.24,F,285,"$59,241.15 "
226,Nate,204,272,7.2,93,Jodhpur National University,4.32,M,313,"$31,927.64 "
227,Berenice,282,315,4.7,108,Universidad Galileo,8.43,F,324,"$34,266.42 "
228,Arline,183,322,6.2,89,Full Sail University,8.99,F,307,"$59,860.40 "
229,Inesita,230,278,5.7,110,Nara Sangyo University,4.54,F,274,"$66,056.34 "
230,Corty,160,294,6.3,97,Albany State University,5.39,M,317,"$42,552.03 "
231,Porter,50,333,6.8,120,Fachhochschule Kärnten,6.88,M,301,"$60,783.04 "
232,Jerrilee,571,301,7.3,82,Lehigh Univervsity,7.62,F,304,"$28,991.03 "
233,Lucas,91,269,7.5,92,Taegu National University of Education,9.49,M,317,"$49,568.42 "
234,Cully,184,305,3.4,92,Oxford Brookes University,7.51,M,296,"$31,793.45 "
235,Erl,620,290,5.6,101,University of Mindanao,4.69,M,334,"$33,100.01 "
236,Cammy,664,304,6.4,84,Gubkin Russian State University of Oil and Gas,7.12,M,315,"$40,352.25 "
237,Prudence,568,318,6.7,112,North Central Bible College,6.09,F,301,"$64,228.81 "
238,Norry,635,297,6.4,112,Tikrit University,7.38,F,316,"$42,752.59 "
239,Montague,170,260,7.8,110,School of Management,7.65,M,280,"$50,321.74 "
240,Babara,669,265,3.4,95,Westhill University,6.24,F,285,"$47,983.51 "
241,Gwenny,317,339,7.3,112,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",7.7,F,302,"$31,510.54 "
242,Cristobal,42,268,7.9,98,Universiti Tun Hussein Onn Malaysia,5.11,M,315,"$64,321.12 "
243,Tasia,265,295,8.4,101,Amman University,4.53,F,298,"$54,141.16 "
244,Milena,230,331,4.6,86,Universidad de Ciencias Empresariales y Sociales,9.64,F,303,"$25,171.60 "
245,Babs,42,332,8.7,67,Petro Mohyla Black Sea State University,8.53,F,310,"$44,695.34 "
246,Christean,523,270,8.7,88,National University of Theater and Film Arts,6.81,F,306,"$66,377.71 "
247,Merola,346,276,4.6,77,Pyramid Education Center,8.73,F,285,"$45,180.67 "
248,Nathan,244,286,3.1,91,Punjab Technical University,4.23,M,278,"$44,276.86 "
249,Cristine,37,281,7.6,94,Technological Education Institute of Kozani,6.09,F,274,"$35,735.86 "
250,Claudian,238,263,5.9,71,Jiangxi University of Traditional Chinese Medicine,5.97,M,305,"$28,499.53 "
251,Blair,213,287,8.7,79,Muhlenberg College,6.11,M,305,"$69,241.16 "
252,Cristal,153,324,5.3,64,La Sierra University,4.91,F,321,"$65,461.75 "
253,Isidora,243,283,7.5,116,University of Calabria,9.8,F,311,"$69,723.21 "
254,Cynthia,334,261,3.7,78,Stamford International University,4.62,F,295,"$57,087.95 "
255,Gallagher,637,272,8.3,84,"Teachers College, Columbia University",8.52,M,300,"$62,852.65 "
256,Celia,423,315,8,60,Université de Sétif,6.93,F,315,"$43,165.16 "
257,Marchelle,60,333,6.5,93,Universidad de Chile,7.67,F,304,"$42,794.53 "
258,Sim,168,330,7.1,108,Mesa State College,4.32,M,332,"$40,094.81 "
259,Vikki,37,262,4.2,101,Universidad Hispanoamericana,7.29,F,291,"$45,290.41 "
260,Tallie,312,326,6.5,77,Open University of Sri Lanka,5.65,M,301,"$47,402.46 "
261,Percival,133,297,4.3,108,Beijing University of Aeronautics and Astronautics,8.81,M,288,"$55,355.33 "
262,Dillon,602,331,6,115,Enugu State University of Science and Technology,9.7,M,328,"$49,816.06 "
263,Alvie,673,302,3.5,117,Rochester Institute of Technology,7.73,M,302,"$32,077.37 "
264,Krispin,320,336,6.1,64,Lagos City Polytechnic,4.34,M,295,"$45,898.70 "
265,Adara,568,336,8.5,90,Université de Marne la Vallée,6.67,F,281,"$66,546.86 "
266,Ambrosio,535,313,7,116,Université de Saida,7.06,M,281,"$67,990.96 "
267,Timothee,146,297,4.9,78,University of Warsaw,4.25,M,293,"$39,831.57 "
268,Lester,98,280,8.7,62,University of Mohaghegh,8.32,M,305,"$48,333.93 "
269,Leroy,553,320,7.6,97,Escuela Politécnica del Ejercito,8.77,M,311,"$34,088.39 "
270,Debbi,30,315,7.6,78,Universidad Evangélica de El Salvador,5.69,F,282,"$26,514.52 "
271,Ralina,109,340,5.3,70,Chonju National University of Education,6.56,F,288,"$48,623.33 "
272,Gottfried,431,312,4.2,94,Universidad Anáhuac,7.15,M,328,"$58,153.51 "
273,Rosalind,150,327,6,96,Universidade Autónoma de Lisboa Luís de Camoes,7.49,F,317,"$55,388.23 "
274,Suzy,283,278,7.9,116,4th Military Medical University,9.48,F,285,"$40,936.27 "
275,Travis,373,339,8.5,84,Technological Education Institute of Kozani,6.9,M,303,"$45,052.20 "
276,Bunnie,142,277,5.2,102,Jordan Academy of Music / Higher Institute of Music,4.52,F,312,"$50,884.88 "
277,Aprilette,461,309,3.6,61,Royal School of Library and Information Science,5.81,F,269,"$68,450.92 "
278,Mersey,552,337,7.4,92,Bowen University,5.01,F,319,"$69,347.60 "
279,Coleman,380,327,5.8,72,Mutesa 1 Royal University,6.68,M,302,"$33,227.15 "
280,Filippa,627,328,5.8,95,Omsk State Technical University,8.79,F,304,"$61,771.62 "
281,Devon,325,308,4.8,90,Universidad de Zaragoza,7.49,F,298,"$55,915.91 "
282,Ephrayim,213,309,9,88,"Universidad de Puerto Rico, Carolina",9.4,M,278,"$46,166.67 "
283,Lind,597,309,8.2,103,Athens Laboratory of Business Administration (ALBA),9.3,M,272,"$42,616.94 "
284,Karyl,490,266,8.7,86,Université Panthéon-Sorbonne (Paris I),8.17,F,311,"$64,838.59 "
285,Doralynne,125,321,3.3,66,Nagpur University,4.52,F,301,"$54,726.66 "
286,Mattheus,280,302,8,82,Jarvis Christian College,7.23,M,289,"$33,866.52 "
287,Maddie,307,336,6,93,Dakota Wesleyan University,4.43,F,298,"$61,852.13 "
288,Paten,317,332,3.8,114,Mount Vernon College,6.5,M,275,"$66,465.46 "
289,Charmain,489,325,6.9,66,Universidade Federal de Mato Grosso,7.28,F,275,"$27,731.93 "
290,Ring,288,291,3.6,93,Iwate Prefectural University,7.03,M,297,"$56,227.05 "
291,Glynn,277,276,5.2,117,Universidad de Huánuco,4.04,M,317,"$61,862.76 "
292,Haley,25,307,6.8,109,"Rutgers, The State University of New Jersey - Camden",7.55,M,289,"$42,014.80 "
293,Veradis,471,305,7.1,106,University of North London,8.82,F,308,"$42,746.23 "
294,Julissa,673,333,6,89,College of Technology at Abha,8.49,F,281,"$66,118.43 "
295,Marlowe,142,302,4.8,92,Felician College,9.21,M,271,"$53,337.06 "
296,Tessy,501,281,4,119,Saad College of Nursing and Allied Health Sciences,6.84,F,292,"$53,159.83 "
297,Jasen,422,277,4.8,69,Mariano Marcos State University,9.34,M,325,"$38,707.08 "
298,Samuel,36,339,4.7,84,Gomel State Technical University Pavel Sukhoi,8.56,M,316,"$40,084.68 "
